,Unnamed: 0,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target,cleaned
10,40,1.16E+18,1.16E+18,8/18/2019,ericsequeira,Didnt get to live through the  but Ive sure been to a lot of steak and shakes,"['#greatdepression', '#depressed', '#livingmybestlife']",Didnt get to live through the #GreatDepression but Ive sure been to a lot of steak and shakes #depressed #livingmybestlife,0,Didnt get to live through the  but Ive sure been to a lot of steak and shakes
11,42,1.16E+18,1.16E+18,8/18/2019,hunterwastaken,bro why is everyone so  and blacked out? i was gone for 5 hours and all hell broke loose,['#depressed'],bro why is everyone so #depressed and blacked out? i was gone for 5 hours and all hell broke loose,0,bro why is everyone so  and blacked out? i was gone for 5 hours and all hell broke loose
12,51,1.16E+18,1.16E+18,8/17/2019,rimrod007,So Im trying to help myself. To understand my depression. Im reading a book named The Chimp Paradox. Amazing book but Ive a lot of therapy to do ?? Brain training. Ill get happy.,"['#depression', '#depressed', '#paranoia']",So Im trying to help myself. To understand my depression. Im reading a book named The Chimp Paradox. Amazing book but Ive a lot of therapy to do ?? Brain training. Ill get happy.#depression #depressed #Paranoia,1,So Im trying to help myself. To understand my depression. Im reading a book named The Chimp Paradox. Amazing book but Ive a lot of therapy to do ?? Brain training. Ill get happy.
13,53,1.16E+18,1.16E+18,8/17/2019,lowlifekev,i just need for someone to rub my head tonight ...,['#depressed'],ima just need for someone to rub my head tonight ... #depressed,1,i just need for someone to rub my head tonight .
14,55,1.16E+18,1.16E+18,8/17/2019,celerglersk,There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most. .,"['#feelingscared', '#depressed']",There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most.#feelingscared #depressed.,1,There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most. .
15,62,1.16E+18,1.16E+18,8/17/2019,wildfoxtherapy,Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  pic.twitter.com/dBXeDgF3eR,"['#help', '#depressed', '#depression']",Your inner b*tch will do all she can to convince you that everything is hopeless and you are beyond #help. She loves you being #depressed cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out. #depression pic.twitter.com/dBXeDgF3eR,0,Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  
16,68,1.16E+18,1.16E+18,8/17/2019,epicgabe,Well i guess no clockwork for me ????,['#depressed'],Well i guess no clockwork for me ???? #depressed,1,Well i guess no clockwork for me ?
17,73,1.16E+18,1.16E+18,8/17/2019,samanthajoule,"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. ","['#depressed', '#depression']","""It's all pointless.."" - a statement a #depressed brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. #depression",0,"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. "
18,79,1.16E+18,1.16E+18,8/17/2019,al__zaainn,Have you ever danced till you fainted! It has a great feeling especially when you feel depressed ,"['#dance', '#depressed']",Have you ever danced till you fainted! It has a great feeling especially when you feel depressed  #dance #depressed  pic.twitter.com/D8IWLZ7OqY,0,Have you ever danced till you fainted! It has a great feeling especially when you feel depressed 
19,84,1.16E+18,1.16E+18,8/17/2019,janusha61949990,"You keep losing your self respect , if u keep giving them chances.??   ","['#broken', '#sad', '#depressed']","You keep losing your self respect , if u keep giving them chances.?? #Broken #Sad #depressed",0,"You keep losing your self respect , if u keep giving them chances.?? "
20,85,1.16E+18,1.16E+18,8/17/2019,friedonbusiness,"A  to life is so important. Its very possible... by being in a  mood youre depressing your immune system, meaning you cannot fight diseases as best you can. Drs. Joan and Peter Cohn. Get out there and spread  today!","['#positiveapproach', '#depressed', '#positivity']","Saturday Soap Box ?? A #positiveapproach to life is so important. Its very possible... by being in a #depressed mood youre depressing your immune system, meaning you cannot fight diseases as best you can. Drs. Joan and Peter Cohn. Get out there and spread #positivity today! pic.twitter.com/wjcd24SuDb",0,"A  to life is so important. Its very possible. by being in a  mood youre depressing your immune system, meaning you cannot fight diseases as best you can. Drs. Joan and Peter Cohn. Get out there and spread  today!"
21,86,1.16E+18,1.16E+18,8/17/2019,sadtimes0813,Cant eat. Cant sleep. Everything is just falling to pieces ?? Im so tired of watching my world crumble,['#depressed'],Cant eat. Cant sleep. Everything is just falling to pieces ?? Im so tired of watching my world crumble #depressed,1,Cant eat. Cant sleep. Everything is just falling to pieces ?? Im so tired of watching my world crumble
22,89,1.16E+18,1.16E+18,8/17/2019,semsannen_,I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna   /s,"['#depressed', '#deactivate']",I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im #Depressed now  Gonna #Deactivate  /s,0,I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna /s
23,92,1.16E+18,1.16E+18,8/17/2019,maudlinmuse,Today I ate 1 month old rancid meat because I forgot what month it was.   .,"['#depressed', '#sick', '#meat']",Today I ate 1 month old rancid meat because I forgot what month it was. #depressed #sick #meat.,1,Today I ate 1 month old rancid meat because I forgot what month it was. .
24,94,1.16E+18,1.16E+18,8/17/2019,sadtimes0813,It always hurts to be the one who cared more ??,"['#depressed', '#sad']",It always hurts to be the one who cared more ?? #depressed #sad,1,It always hurts to be the one who cared more ??
25,96,1.16E+18,1.16E+18,8/17/2019,_bluenightx,I'm having trouble catching my breath.,"['#anxiety', '#depressed']",I'm having trouble catching my breath.  #anxiety #depressed,1,I'm having trouble catching my breath.
26,99,1.16E+18,1.16E+18,8/17/2019,puffpuffnpass1,Plum Blossom Patterned White Ceramic Smoking Pipe  ,"['#stoner', '#instahookah', '#depressed']",#stoner #instahookah #depressed Plum Blossom Patterned White Ceramic Smoking Pipe  pic.twitter.com/FmQqWE7Y6M,0,Plum Blossom Patterned White Ceramic Smoking Pipe  
27,101,1.16E+18,1.16E+18,8/17/2019,masederealwolf,just got my phone confiscated for doing an anxiety test  great.  whelp bye again.,['#depressed'],just got my phone confiscated for doing an anxiety test  great.  whelp bye again. #depressed,0,just got my phone confiscated for doing an anxiety test  great.  whelp bye again.
28,112,1.16E+18,1.16E+18,8/17/2019,ilyseroyal,I normally dont talk about myself. But i feel like shit.  I just lost my challenge match in tennis so now my position is going down. And i wouldnt be so mad if the didnt call balls that were on the line.  Like come on girl. Stop cheating.,"['#tennis', '#depressed']",I normally dont talk about myself. But i feel like shit.  I just lost my challenge match in tennis so now my position is going down. And i wouldnt be so mad if the didnt call balls that were on the line.  Like come on girl. Stop cheating. #tennis #depressed,1,I normally dont talk about myself. But i feel like shit.  I just lost my challenge match in tennis so now my position is going down. And i wouldnt be so mad if the didnt call balls that were on the line.  Like come on girl. Stop cheating.
29,115,1.16E+18,1.16E+18,8/17/2019,amishman9000,"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today. ",['#depressed'],"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today. #depressed",1,"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today. "
30,130,1.16E+18,1.16E+18,8/17/2019,sadtimes0813,"Everyone tells me the pain will fade. Maybe I dont want it to, its the only thing that still connects me to you   ","['#sheleft', '#sad', '#depressed']","Everyone tells me the pain will fade. Maybe I dont want it to, its the only thing that still connects me to you #sheleft #sad #depressed",1,"Everyone tells me the pain will fade. Maybe I dont want it to, its the only thing that still connects me to you "
31,141,1.16E+18,1.16E+18,8/17/2019,jameswifties,"When I say ""I want to die"", they say""Let's do it, no one gonna care you anymore"" It's make me feel pity of my life more. I just want someone to hug me when I cry. But it not gonna happen.""","['#depressed', '#???????????']","When I say ""I want to die"", they say""Let's do it, no one gonna care you anymore"" It's make me feel pity of my life more. I just want someone to hug me when I cry. But it not gonna happen.  #depressed #???????????",1,"When I say ""I want to die"", they say""Let's do it, no one gonna care you anymore"" It's make me feel pity of my life more. I just want someone to hug me when I cry. But it not gonna happen."""
32,142,1.16E+18,1.16E+18,8/17/2019,briannakole19,Apparently a mosquito bit the inside of my thigh and all I can think of is how thats the most action Ive had in months.,['#depressed'],Apparently a mosquito bit the inside of my thigh and all I can think of is how thats the most action Ive had in months.  #depressed,1,Apparently a mosquito bit the inside of my thigh and all I can think of is how thats the most action Ive had in months.
33,144,1.16E+18,1.16E+18,8/17/2019,shy91771526,Why do I always feel the need to document my attacks? So I look back and see how dumb and helpless I look? Just a bad one. Havent had them in a while. I need tips and tricks to shorten them.,"['#depressed', '#anxiety', '#help']",Why do I always feel the need to document my attacks? So I look back and see how dumb and helpless I look? Just a bad one. Havent had them in a while. I need tips and tricks to shorten them. #depressed #anxiety #help,1,Why do I always feel the need to document my attacks? So I look back and see how dumb and helpless I look? Just a bad one. Havent had them in a while. I need tips and tricks to shorten them.
34,145,1.16E+18,1.16E+18,8/17/2019,aleuthemermaid,I miss my mom. The dreams are too much.,['#depressed'],I miss my mom. The dreams are too much. #depressed,1,I miss my mom. The dreams are too much.
35,146,1.16E+18,1.16E+18,8/17/2019,gracie_m721,I feel so confused Right now... One topic is telling me- you gotta move on or ditch this dude....  Another topic appeared saying- let's have a good time baby...  What the fuck dudes..,"['#discombulated', '#confused', '#depressed']",I feel so confused Right now... One topic is telling me- you gotta move on or ditch this dude....  Another topic appeared saying- let's have a good time baby...  What the fuck dudes.. #discombulated #confused #depressed,0,I feel so confused Right now. One topic is telling me- you gotta move on or ditch this dude.  Another topic appeared saying- let's have a good time baby.  What the fuck dudes..
36,154,1.16E+18,1.16E+18,8/17/2019,hashtagsaloobin,Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleeps frail wicker coracle.,"['#often', '#depressed', '#sad']",Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleeps frail wicker coracle.#often #depressed #Sad,1,Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleeps frail wicker coracle.
37,156,1.16E+18,1.16E+18,8/17/2019,hashtagsaloobin,When i have nobody to talk to. Nobody to rely on. Trap in my own space. Living becomes so meaningless.  ?,"['#depressed', '#mylifematters']",When i have nobody to talk to. Nobody to rely on. Trap in my own space. Living becomes so meaningless. #depressed #mylifematters?,1,When i have nobody to talk to. Nobody to rely on. Trap in my own space. Living becomes so meaningless.  ?
38,159,1.16E+18,1.16E+18,8/17/2019,nctzoozeus,low-key high-key  im not at kcon la rn?? I WANNA GO SO BAD OMG yall better catch me next year at kcon la 2020 having high-touch with my boys seungwoo and eunsang akshsj,['#depressed'],low-key high-key #depressed im not at kcon la rn?? I WANNA GO SO BAD OMG yall better catch me next year at kcon la 2020 having high-touch with my boys seungwoo and eunsang akshsj,0,low-key high-key  im not at kcon la rn?? I WANNA GO SO BAD OMG yall better catch me next year at kcon la 2020 having high-touch with my boys seungwoo and eunsang akshsj
39,161,1.16E+18,1.16E+18,8/17/2019,vaporaccessshop,Cavalry Style Electronic Cigarette  pic.twitter.com/3ia1npbgPU,"['#stoner', '#instahookah', '#depressed']",#stoner #instahookah #depressed Cavalry Style Electronic Cigarette  pic.twitter.com/3ia1npbgPU,0,Cavalry Style Electronic Cigarette  
40,163,1.16E+18,1.16E+18,8/17/2019,masederealwolf,Im so fuckin upset rn. Not coming back to twitter for a while. Im so fucking done with everything rn. This sucks.,['#depressed'],Im so fuckin upset rn. Not coming back to twitter for a while. Im so fucking done with everything rn. This sucks. #depressed,1,Im so fuckin upset rn. Not coming back to twitter for a while. Im so fucking done with everything rn. This sucks.
41,169,1.16E+18,1.16E+18,8/17/2019,hulk27watkins,You all ever heard a song so good but now you cant remember it,"['#depressed', '#forgetfulmind']",Yall ever heard a song so good but now you cant remember it #depressed #forgetfulmind,0,You all ever heard a song so good but now you cant remember it
42,175,1.16E+18,1.16E+18,8/16/2019,therabbitchu,I am so forlorn there are no words to express it accurately......,"['#despair', '#depressed', '#forlorn']",I am so forlorn there are no words to express it accurately...... #despair #depressed #forlorn,1,I am so forlorn there are no words to express it accurately.
43,176,1.16E+18,1.16E+18,8/16/2019,wildfoxtherapy,Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. pic.twitter.com/qQNAgbgC1I,"['#depressed', '#positive']",Nobody chooses to be #depressed. But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose #positive thoughts instead. pic.twitter.com/qQNAgbgC1I,0,Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. 
44,178,1.16E+18,1.16E+18,8/16/2019,little_red2596,Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.,['#depressed'],Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am. #DEPRESSED,0,Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.
45,180,1.16E+18,1.16E+18,8/16/2019,siddiqbetrayer,"If you cheat, you are trash. I don't care what the situation is, doesn't matter. Nobody deserves to fall asleep at night wondering why they weren't enough?? ",['#depressed'],"If you cheat, your trash. Idc what the situation is, doesn't matter. Nobody deserves to fall asleep at night wondering why they weren't enough?? #depressed",0,"If you cheat, you are trash. I don't care what the situation is, doesn't matter. Nobody deserves to fall asleep at night wondering why they weren't enough?? "
46,189,1.16E+18,1.16E+18,8/16/2019,semsannen_,"Since someone deactivated, i don't know who  So i m  now  Gonna ","['#depressed', '#deactivate']","Since someone deactivated, idk who  So im #Depressed now  Gonna #deactivate",0,"Since someone deactivated, i don't know who  So i m  now  Gonna "
47,192,1.16E+18,1.16E+18,8/16/2019,mozenkoffmich,How do u know if your  ?? Asking for a friend,['#depressed'],How do u know if your #depressed ?? Asking for a friend,0,How do u know if your  ?? Asking for a friend
48,198,1.16E+18,1.16E+18,8/16/2019,badassid,Ive done enough today time 2 he,['#depressed'],Ive done enough today time 2 he #depressed,0,Ive done enough today time 2 he
49,201,1.16E+18,1.16E+18,8/16/2019,naveentp36cq,I am the writer of my own disasters,"['#thoughts', '#depressed']",I am the writer of my own disasters #thoughts #depressed,0,I am the writer of my own disasters
50,206,1.16E+18,1.16E+18,8/16/2019,trillasahbella,IN NEED OF My WAVES and little CURLS,['#depressed'],IN NEED OF MI WAVES N LIL CURLS #DEPRESSED,0,IN NEED OF My WAVES and little CURLS
51,216,1.16E+18,1.16E+18,8/16/2019,richerd2020,of course my only follower unfollows,"['#byereina', '#depressed']",of course my only follower unfollows #byereina #depressed,0,of course my only follower unfollows
52,218,1.16E+18,1.16E+18,8/16/2019,lowerdepression,"Older  people may have cognitive symptoms of recent onset, such as , and a more noticeable slowing of movements.","['#depressed', '#forgetfulness']","Older #depressed people may have cognitive symptoms of recent onset, such as #forgetfulness, and a more noticeable slowing of movements.",0,"Older  people may have cognitive symptoms of recent onset, such as , and a more noticeable slowing of movements."
53,229,1.16E+18,1.16E+18,8/16/2019,joshlaioloplays,This is a tragic day lads ??   pic.twitter.com/QvHVGfnJFZ,"['#depressed', '#obiwan']",This is a tragic day lads ?? #depressed #ObiWan pic.twitter.com/QvHVGfnJFZ,0,This is a tragic day lads ?? 
54,234,1.16E+18,1.16E+18,8/16/2019,lowerdepression,"A  person may report multiple physical symptoms such as fatigue, headaches, or digestive problems.",['#depressed'],"A #Depressed person may report multiple physical symptoms such as fatigue, headaches, or digestive problems.",0,"A  person may report multiple physical symptoms such as fatigue, headaches, or digestive problems."
55,240,1.16E+18,1.16E+18,8/16/2019,lowerdepression,"Insomnia is common among the . In the typical pattern, a person wakes very early and cannot get back to sleep.",['#depressed'],"Insomnia is common among the #Depressed. In the typical pattern, a person wakes very early and cannot get back to sleep.",0,"Insomnia is common among the . In the typical pattern, a person wakes very early and cannot get back to sleep."
56,248,1.16E+18,1.16E+18,8/16/2019,wendy_ellas,A lot of people but they don't know me well.,"['#depressed', '#???????????']",A lot of people but they don't know me well. #depressed #???????????,1,A lot of people but they don't know me well.
57,251,1.16E+18,1.16E+18,8/16/2019,alttheoalt,EdGy DepReSsEd TeEnAgEr  blacked out my pfp  pic.twitter.com/bsqBWkKqZP,"['#depressed', '#newprofilepic']",EdGy DepReSsEd TeEnAgEr #depressed blacked out my pfp #NewProfilePic pic.twitter.com/bsqBWkKqZP,0,EdGy DepReSsEd TeEnAgEr  blacked out my pfp  
58,256,1.16E+18,1.16E+18,8/16/2019,darkymishi,so alone so tired so bored so ugly so depressed  so so so so so so,"['#depressed', '#sad', '#alone']",so alone so tired so bored so ugly so depressed  so so so so so so   #depressed #Sad #Alone,1,so alone so tired so bored so ugly so depressed  so so so so so so
59,259,1.16E+18,1.16E+18,8/16/2019,gracie_m721,I looked for help and I got it. I looked for answers I found it. Now I need to find myself.,"['#searching', '#depressed']",I looked for help and I got it. I looked for answers I found it. Now I need to find myself.  #searching #depressed,1,I looked for help and I got it. I looked for answers I found it. Now I need to find myself.
60,260,1.16E+18,1.16E+18,8/16/2019,chrisbontheweb,"Starting to feel better but still probably take me a couple more days to get better as  moods do not go overnight, it sure as heck take some time.",['#depressed'],"Starting to feel better but still probably take me a couple more days to get better as #depressed moods do not go overnight, it sure as heck take some time.",1,"Starting to feel better but still probably take me a couple more days to get better as  moods do not go overnight, it sure as heck take some time."
61,262,1.16E+18,1.16E+18,8/16/2019,lisamonique_04,My man has been working out of town for a year already & I still cry every time he has to leave  :(,['#depressed'],My man has been working out of town for a year already & I still cry every time he has to leave #depressed :(,0,My man has been working out of town for a year already & I still cry every time he has to leave  :(
62,267,1.16E+18,1.16E+18,8/16/2019,alyssamnunez,my 8 year old cousin stopped sharing her location with me,['#depressed'],my 8 year old cousin stopped sharing her location with me #depressed,0,my 8 year old cousin stopped sharing her location with me
63,273,1.16E+18,1.16E+18,8/16/2019,mickirei,"When I don't have anything to distract me, I just find myself peering down the balcony and seeing my bloodied self on the ground.    ","['#depressed', '#stressed', '#alone']","When I don't have anything to distract me, I just find myself peering down the balcony and seeing my bloodied self on the ground.  #depressed #stressed #alone",1,"When I don't have anything to distract me, I just find myself peering down the balcony and seeing my bloodied self on the ground. "
64,274,1.16E+18,1.16E+18,8/16/2019,mickirei,"Smiling had been always natural for me. It was easy to conjure up on my face. Now it became one of the hardest things to do in my life, next to living.    ","['#depressed', '#stressed', '#alone']","Smiling had been always natural for me. It was easy to conjure up on my face. Now it became one of thw hardest things to do in my life, next to living.  #depressed #stressed #alone",1,"Smiling had been always natural for me. It was easy to conjure up on my face. Now it became one of the hardest things to do in my life, next to living. "
65,275,1.16E+18,1.16E+18,8/16/2019,mickirei,"I always hated suicide. But now that I think about it, it seems comforting to try.    ","['#depressed', '#stressed', '#alone']","I always hated suicide. But now that I think about it, it seems comforting to try.  #depressed #stressed #alone",1,"I always hated suicide. But now that I think about it, it seems comforting to try. "
66,276,1.16E+18,1.16E+18,8/16/2019,mickirei,Sometimes I don't want to think because I know that my mind will definitely plunge into imagining the life that will never happen.,"['#depressed', '#stressed', '#alone']",Sometimes I don't want to think because I know that my mind will definitely plunge into imagining the life that will never happen.  #depressed #stressed #alone,1,Sometimes I don't want to think because I know that my mind will definitely plunge into imagining the life that will never happen.
67,277,1.16E+18,1.16E+18,8/16/2019,mickirei,"As a writer, it always hurts me to write happy endings when my life doesn't even have anything you can call happy since the beginning.    ","['#depressed', '#stressed', '#alone']","As a writer, it always hurts me to write happy endings when my life doesn't even have anything you can call happy since the beginning.  #depressed #stressed #alone",1,"As a writer, it always hurts me to write happy endings when my life doesn't even have anything you can call happy since the beginning. "
68,278,1.16E+18,1.16E+18,8/16/2019,mickirei,When you've forgotten how to speak when you haven't had anyone to listen to you for a long long time.,"['#depressed', '#stressed', '#alone']",When you've forgotten how to speak when you haven't had anyone to listen to you for a long long time.  #depressed #stressed #alone,1,When you've forgotten how to speak when you haven't had anyone to listen to you for a long long time.
69,279,1.16E+18,1.16E+18,8/16/2019,mickirei,I had everything and I have nothing.,"['#depressed', '#stressed', '#alone']",I had everything and I have nothing.  #depressed #stressed #alone,1,I had everything and I have nothing.
70,281,1.16E+18,1.16E+18,8/16/2019,mickirei,"The sad thing when you lie all the time is that when you say the truth, it always sounds like a lie even to yourself.    ","['#depressed', '#stressed', '#alone']","The sad thing when you lie all the time is that when you say the truth, it always sounds like a lie even to yourself.  #depressed #stressed #alone",0,"The sad thing when you lie all the time is that when you say the truth, it always sounds like a lie even to yourself. "
71,282,1.16E+18,1.16E+18,8/16/2019,mickirei,"When you have gone through many betrayal and disappointments in your life, you realise that it's better to keep people a few feet away from you.    ","['#depressed', '#stressed', '#alone']","When you have gone through many betrayal and disappointments in your life, you realise that it's better to keep people a few feet away from you.  #depressed #stressed #alone",1,"When you have gone through many betrayal and disappointments in your life, you realise that it's better to keep people a few feet away from you. "
72,283,1.16E+18,1.16E+18,8/16/2019,mickirei,Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,"['#depressed', '#stressed', '#alone']",Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.  #depressed #stressed #alone,1,Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.
73,287,1.16E+18,1.16E+18,8/16/2019,kyasarin_beech,"so like... i lost all my followers but when i press the thingy to show who im following and who my followers are, theyre all there...   Send help ?????   ","['#sendhelp', '#confused', '#depressed']","so like... i lost all my followers but when i press the thingy to show who im following and who my followers are, theyre all there...   Send help ????? #sendhelp #confused #depressed",0,"so like. i lost all my followers but when i press the thingy to show who im following and who my followers are, theyre all there. Send help ? "
74,309,1.16E+18,1.16E+18,8/15/2019,mojita99,"I was not, am nott and will not be enough ",['#depressed'],"I wasnt, arent and wont be enough #depressed",1,"I was not, am nott and will not be enough "
75,311,1.16E+18,1.16E+18,8/15/2019,rocktitman,hi sorry ive been so inactive lately ive been,['#depressed'],hi sorry ive been so inactive lately ive been #depressed,1,hi sorry ive been so inactive lately ive been
76,312,1.16E+18,1.16E+18,8/15/2019,julieburns1,Imagine having a figure like  ffs Id never wear clothes! shes just bloody perfect - wish I hadnt seen these photos    pic.twitter.com/EKeUu6aXvY,"['#michellekeegan', '#depressed']",Imagine having a figure like #MichelleKeegan ffs Id never wear clothes! shes just bloody perfect - wish I hadnt seen these photos  #depressed  pic.twitter.com/EKeUu6aXvY,0,Imagine having a figure like  ffs Id never wear clothes! shes just bloody perfect - wish I hadnt seen these photos 
77,315,1.16E+18,1.16E+18,8/15/2019,chrisbontheweb,I admit I have been  the last 24 hrs. I have barely been smiling and just cannot shake it right now.,['#depressed'],I admit Ive been #depressed the last 24 hrs. Ive barely been smiling and just cannot shake it right now.,1,I admit I have been  the last 24 hrs. I have barely been smiling and just cannot shake it right now.
